Year,Value,Units,Series
2016,297.12,Millions $ CAD,Total value of the supported investment projects 
2017,439.44,Millions $ CAD,Total value of the supported investment projects 
2018,636.11,Millions $ CAD,Total value of the supported investment projects 
2019,581.1,Millions $ CAD,Total value of the supported investment projects 
2020,776.9,Millions $ CAD,Total value of the supported investment projects 
2021,1097.43,Millions $ CAD,Total value of the supported investment projects 
2016,173.0,Nombre,Nombre de projets
2017,342.0,Nombre,Nombre de projets
2018,254.0,Nombre,Nombre de projets
2019,239.0,Nombre,Nombre de projets
2020,244.0,Nombre,Nombre de projets
2021,248.0,Nombre,Nombre de projets
